t,side,score,ts_4h,ts_1d,fwd_1d,absraw_1d,fwd_3d,absraw_3d,fwd_7d,absraw_7d,fwd_14d,absraw_14d
1720080000000,short,-70.0,1.4114449218602219,2.0334912063003863,0.0625813981315931,-0.0625813981315931,0.00045955802657112485,-0.00045955802657112485,-0.008235626672401051,0.008235626672401051,-0.12557899975894884,0.12557899975894884
1720094400000,short,-70.0,1.6757196875630185,2.0334912063003863,0.03842214905382072,-0.03842214905382072,-0.0017581388195652985,0.0017581388195652985,-0.027203965074904378,0.027203965074904378,-0.13269578955462819,0.13269578955462819
1720108800000,short,-65.83333333333333,1.8875447859702061,2.0334912063003863,0.03168240032537007,-0.03168240032537007,0.020320187533999952,-0.020320187533999952,0.011413695404833507,-0.011413695404833507,-0.09621414021461383,0.09621414021461383
1720123200000,short,-60.0,2.0186941604566417,2.0334912063003863,0.034603991963961196,-0.034603991963961196,0.018727330074120804,-0.018727330074120804,0.013721947573760825,-0.013721947573760825,-0.09369321804954649,0.09369321804954649
1720137600000,short,-61.66666666666667,2.1280894590172372,1.9886636874033723,0.013667390224128488,-0.013667390224128488,0.04002754748890695,-0.04002754748890695,0.003426000993801815,-0.003426000993801815,-0.10852315819755737,0.10852315819755737
1720152000000,short,-70.0,2.3319986631047516,1.9886636874033723,-0.039357154117941634,0.039357154117941634,-0.028870568378882133,0.028870568378882133,-0.05699739411868349,0.05699739411868349,-0.18935947251768936,0.18935947251768936
1720166400000,short,-70.0,2.4612348374854993,1.9886636874033723,-0.045869607846764616,0.045869607846764616,-0.068907084213603,0.068907084213603,-0.05999770605711912,0.05999770605711912,-0.18003751706582505,0.18003751706582505
1720180800000,short,-67.5,2.561977764565612,1.9886636874033723,-0.03097538944150522,0.03097538944150522,-0.03823624027872949,0.03823624027872949,-0.0423801050869576,0.0423801050869576,-0.17019470712144982,0.17019470712144982
1720195200000,short,-60.0,2.6760185101278693,1.9886636874033723,-0.02474218399706515,0.02474218399706515,0.011446871029084187,-0.011446871029084187,-0.029341135896813315,0.029341135896813315,-0.17675216522908807,0.17675216522908807
1720368000000,short,-70.0,1.2275537094811304,2.047973448979702,0.022911995515695067,-0.022911995515695067,-0.010210552130044868,0.010210552130044868,-0.05238228699551572,0.05238228699551572,-0.18308576233183857,0.18308576233183857
1720382400000,short,-65.0,1.0488868712463917,2.047973448979702,0.017638314114669082,-0.017638314114669082,-0.002677977175179587,0.002677977175179587,-0.04924123980036585,0.04924123980036585,-0.18262476700899827,0.18262476700899827
1721606400000,long,100.0,1.767467342654536,1.1799192865008197,-0.010321439103509288,-0.010321439103509288,-0.039011665353562576,-0.039011665353562576,0.008103099952904137,0.008103099952904137,-0.176696875398883,-0.176696875398883
1721635200000,long,91.66666666666666,1.6937898622051062,1.1799192865008197,-0.0030908006560310558,-0.0030908006560310558,-0.04082600268376319,-0.04082600268376319,0.03560161025793951,0.03560161025793951,-0.21394811391083943,-0.21394811391083943
1721664000000,long,70.0,1.5163129627168948,1.1799192865008197,-0.01801768194874473,-0.01801768194874473,-0.03258104226508002,-0.03258104226508002,-0.0016025664938261526,-0.0016025664938261526,-0.1941358600365576,-0.1941358600365576
